bank_partner,country_code,currency_supported,payment_rail,average_completion_time_in_seconds,number_of_failures_per_thousand_transactions,active,routing_code,operating_hours,is_weekend,cost_in_us_cents,discounted_cost_in_us_cents,discount_rule,transaction_date
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2144,20,True,IRDSGBFZDON,08:00-17:00,False,112,112,,2025-02-14 22:10:10
Signature Bank,US,USD,ACH,1408,9,True,400580171,00:00-23:59,True,176,176,,2025-01-11 17:21:47
Navy Federal Credit Union,US,USD,CHIPS,2024,5,True,690538692,00:00-23:59,True,1125,1125,,2025-02-23 03:38:59
UniCredit Bank AG,DE,USD,SEPA,3016,13,True,KPECGBDW,00:00-23:59,True,1203,1203,,2025-02-23 11:31:06
Santander UK,UK,GBP,DIRECT,2270,3,False,ZPWTGB8RU49,00:00-23:59,False,1231,1231,,2025-03-19 17:47:28
Canara Bank,IN,INR,UPI,2474,13,False,IN5343693934,00:00-23:59,False,47,47,,2025-02-19 09:18:50
Fidor Bank,DE,EUR,SEPA,2342,2,True,DHOZGBZ2SAN,00:00-23:59,False,157,157,,2025-01-27 19:37:39
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3161,5,True,TQVQGBJCKEE,08:00-17:00,False,237,237,,2025-02-18 08:57:34
Nationwide,UK,GBP,CHAPS,2296,2,True,BONVGBMT,08:00-16:00,False,252,252,,2025-01-01 07:21:43
Metro Bank,UK,GBP,SWIFT,46804,18,True,PANBGBKSNMZ,00:00-23:59,False,2763,2763,,2025-03-12 16:22:48
Santander UK,UK,GBP,CHAPS,3028,5,False,CBUBGBUIM5X,08:00-16:00,False,210,210,,2025-02-26 13:06:21
Deutsche Bank,DE,EUR,SEPA,3451,3,True,BILHGBHVS9P,00:00-23:59,False,177,177,,2025-02-11 03:26:15
Hamburg Commercial Bank,DE,EUR,SEPA,3488,14,True,ISUHGB4X,00:00-23:59,False,101,101,,2025-03-24 19:14:43
Hamburg Commercial Bank,DE,EUR,SEPA,3040,13,True,LQQVGBAF,00:00-23:59,False,129,29,$1 off per 50 txn,2025-02-17 00:07:38
New York Community Bancorp,US,USD,ACH,3301,4,True,321094394,00:00-23:59,False,41,41,,2025-04-15 05:43:40
Deutsche Bank,DE,EUR,SEPA,883,10,True,KYFKGBHE,00:00-23:59,True,23,23,,2025-02-22 01:33:49
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,2759,9,True,GQOMGB0I,08:00-17:00,False,195,195,,2025-03-17 04:03:43
UniCredit Bank AG,DE,EUR,SEPA,500,10,True,DEEAGBCY,00:00-23:59,False,146,146,,2025-04-14 15:59:04
NatWest,UK,GBP,CHAPS,1154,14,True,MRJRGBTZ,08:00-16:00,True,231,231,,2025-03-01 18:36:54
Canara Bank,IN,INR,RTGS,2006,0,True,IN1802517700,00:00-23:59,False,2686,2686,,2025-02-07 11:00:25
Commerzbank,DE,USD,ELIXIR,1091,14,True,ZKXRGBF7,08:00-16:00,False,1235,1235,,2025-01-31 04:17:30
Bank of Baroda,IN,INR,IMPS,1169,13,True,IN7489542746,00:00-23:59,True,1524,1067,30% weekend discount,2025-02-23 23:24:21
Axis Bank,IN,INR,UPI,2779,16,False,IN4622926433,00:00-23:59,True,103,103,,2025-02-09 11:45:44
Chase,US,USD,Fedwire,1894,16,True,494881277,08:30-17:00,False,2561,2561,,2025-03-06 13:57:34
Capital One,US,USD,Fedwire,1200,1,True,964868742,08:30-17:00,False,2612,2612,,2025-03-07 15:19:08
Indian Bank,IN,INR,UPI,1238,13,False,IN1466495465,00:00-23:59,False,125,125,,2025-01-02 05:34:34
Punjab National Bank,IN,INR,RTGS,947,3,True,IN6521511314,00:00-23:59,False,2662,2662,,2025-04-10 22:20:15
Bank of India,IN,INR,NEFT,3175,11,True,IN8066324895,08:00-19:00,True,153,153,,2025-01-25 21:42:49
ICICI Bank,IN,INR,UPI,1193,15,True,IN0635843382,00:00-23:59,False,151,151,,2025-04-22 22:20:11
Hamburg Commercial Bank,DE,EUR,ELIXIR,1594,4,True,JVKOGBLG6AB,08:00-16:00,True,161,113,30% weekend discount,2025-01-04 01:11:20
Vanguard Bank,US,USD,Fedwire,2448,2,True,875115195,08:30-17:00,True,2634,2634,,2025-03-15 08:40:26
NatWest,UK,GBP,CHAPS,1109,13,True,OAXDGBTXRTC,08:00-16:00,False,200,200,,2025-04-08 06:47:04
Postbank,DE,EUR,SEPA,3438,9,True,WZGSGBNXHMH,00:00-23:59,False,185,185,,2025-04-17 10:29:29
Bank of Baroda,IN,INR,UPI,820,20,False,IN9382352931,00:00-23:59,False,52,52,,2025-03-03 03:18:31
Indian Overseas Bank,IN,INR,UPI,1228,17,True,IN8351602103,00:00-23:59,False,127,127,,2025-03-18 19:51:39
HSBC,UK,GBP,CHAPS,2270,1,True,PBVDGB1C74B,08:00-16:00,False,318,318,,2025-02-07 02:30:08
Nationwide,UK,USD,CHAPS,473,19,True,QTDCGBP0U1G,08:00-16:00,True,1213,849,30% weekend discount,2025-01-04 16:03:34
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2653,9,True,GPADGBYJ8I4,08:00-17:00,False,258,258,,2025-03-03 06:42:43
Barclays,UK,USD,DIRECT,3555,5,True,QTOQGBLG,00:00-23:59,True,1137,1137,,2025-04-20 01:01:11
Siemens Bank GmbH,DE,EUR,ELIXIR,1826,20,True,HCLBGBOT82Y,08:00-16:00,False,183,183,,2025-04-22 21:44:55
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2557,19,False,GZTVGBFYVZN,08:00-17:00,False,180,180,,2025-01-29 23:15:15
Bank of Baroda,IN,INR,UPI,3362,10,True,IN6360551559,00:00-23:59,False,80,80,,2025-03-21 14:34:45
Santander UK,UK,GBP,CHAPS,3564,14,True,TKUXGBG2,08:00-16:00,True,319,319,,2025-01-19 04:48:52
American Savings Bank,US,USD,CHIPS,1916,4,False,381641366,00:00-23:59,True,1040,1040,,2025-02-01 17:39:06
American Express,US,USD,Fedwire,469,3,False,195847134,08:30-17:00,False,2534,2534,,2025-02-26 09:52:18
Royal Bank of Scotland,UK,GBP,DIRECT,2748,9,True,OOKGGBLG8EG,00:00-23:59,False,100,100,,2025-01-10 02:27:52
Midwest Bank,US,USD,Fedwire,2828,12,True,003554382,08:30-17:00,False,2512,2512,,2025-04-22 23:25:37
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,2813,0,True,EBJLGBICK8H,08:00-17:00,False,184,184,,2025-01-03 21:40:43
N26,DE,EUR,ELIXIR,1911,10,True,LLSIGBAE06J,08:00-16:00,False,179,179,,2025-02-05 08:45:25
Landesbank Baden-W�rttemberg,DE,EUR,SEPA,821,5,True,MTJFGBMI8ZT,00:00-23:59,False,42,42,,2025-04-04 12:09:47
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1404,17,True,NLGOGBAE,08:00-17:00,True,166,166,,2025-02-22 22:00:26
Yes Bank,IN,INR,RTGS,1222,1,False,IN1772666709,00:00-23:59,False,2604,2604,,2025-04-21 19:18:09
UniCredit Bank AG,DE,EUR,SEPA,901,8,True,BTCJGB2V2AK,00:00-23:59,True,195,136,30% weekend discount,2025-04-05 11:33:56
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,ELIXIR,695,19,True,KDYUGB6TVOV,08:00-16:00,False,169,169,,2025-01-23 14:09:42
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,851,7,False,KQZBGBKN,08:00-17:00,False,150,150,,2025-02-28 03:56:52
UCO Bank,IN,INR,UPI,460,15,True,IN5285668435,00:00-23:59,True,42,42,,2025-03-02 06:07:59
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1892,7,True,HJRLGB46,08:00-17:00,False,180,180,,2025-02-10 21:51:14
Alliance Bank,US,EUR,CHIPS,2349,11,True,084421147,00:00-23:59,False,2126,2126,,2025-03-31 22:47:49
Punjab National Bank,IN,INR,NEFT,1345,18,True,IN0820642543,08:00-19:00,False,92,92,,2025-02-06 12:41:29
Metro Bank,UK,GBP,DIRECT,2336,17,True,RWGIGBGE,00:00-23:59,True,30,30,,2025-03-16 04:29:14
UniCredit Bank AG,DE,EUR,SEPA,1881,3,True,QKEYGBW1IT9,00:00-23:59,True,122,122,,2025-02-02 03:35:56
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,3247,0,True,BAOBGB6G,08:00-17:00,False,298,298,,2025-04-03 15:28:47
Deutsche Bank,DE,EUR,ELIXIR,1357,9,True,UONVGBFUSHI,08:00-16:00,True,181,181,,2025-01-12 18:51:00
Vanguard Bank,US,USD,CHIPS,3026,15,True,017649019,00:00-23:59,False,1040,1040,,2025-04-03 06:25:11
Fidor Bank,DE,EUR,ELIXIR,1084,7,True,VQPTGBIVCZB,08:00-16:00,True,340,340,,2025-01-05 08:28:58
Nationwide,UK,EUR,CHAPS,1599,8,True,XYOBGBKX,08:00-16:00,False,1377,1377,,2025-02-04 20:50:32
Punjab National Bank,IN,INR,UPI,701,17,True,IN0469871595,00:00-23:59,True,35,35,,2025-01-19 05:12:17
Citibank,US,USD,Fedwire,2284,9,True,921100871,08:30-17:00,True,2544,1781,30% weekend discount,2025-03-22 16:45:34
Halifax,UK,GBP,DIRECT,1109,9,True,DOOEGBNWI7R,00:00-23:59,False,194,194,,2025-01-02 17:19:14
Provident Bank,US,USD,ACH,1115,20,False,417000565,00:00-23:59,True,212,212,,2025-01-19 07:44:31
Barclays Bank USA,US,USD,CHIPS,767,17,False,321231055,00:00-23:59,False,1144,1144,,2025-03-18 11:22:01
Liberty Bank,US,USD,ACH,1362,2,False,241225767,00:00-23:59,False,143,143,,2025-01-24 19:16:33
Heritage Bank,US,USD,CHIPS,3278,17,True,263418059,00:00-23:59,True,1159,1159,,2025-03-22 08:40:42
Citibank,US,USD,CHIPS,1277,2,True,840204585,00:00-23:59,False,1150,1150,,2025-03-31 01:37:41
Fidelity Bank,US,USD,CHIPS,1367,14,True,027492492,00:00-23:59,True,1178,1178,,2025-02-02 04:10:30
Navy Federal Credit Union,US,USD,ACH,1300,7,False,912320738,00:00-23:59,False,69,69,,2025-01-29 19:04:41
Deutsche Kreditbank Aktiengesellschaft,DE,EUR,SEPA,1754,3,True,VFZKGBAZQHX,00:00-23:59,False,180,180,,2025-03-19 09:11:36
Atom Bank PLC,UK,GBP,DIRECT,2346,14,True,TJKAGB2L,00:00-23:59,False,141,141,,2025-03-07 00:56:01
Siemens Bank GmbH,DE,EUR,SEPA,1556,0,True,DKDEGB5RXPB,00:00-23:59,False,127,127,,2025-01-21 15:21:10
Kotak Mahindra Bank,IN,INR,NEFT,495,4,True,IN4408309242,08:00-19:00,False,108,108,,2025-03-12 23:30:43
DZ Bank,DE,EUR,ELIXIR,2597,12,True,UACNGBDBNR3,08:00-16:00,False,174,174,,2025-01-24 12:09:10
Atom Bank PLC,UK,GBP,DIRECT,877,8,True,CNOLGBA6BJ1,00:00-23:59,True,44,31,30% weekend discount,2025-03-22 10:26:47
Punjab National Bank,IN,INR,NEFT,1508,9,False,IN6673285081,08:00-19:00,False,131,131,,2025-01-07 03:07:13
Sparkasse,DE,EUR,SEPA,397,13,False,EQLLGBQ83N2,00:00-23:59,False,152,102,50 cent discount,2025-03-12 16:49:10
Associated Bank,US,USD,CHIPS,2896,17,True,232932826,00:00-23:59,False,1126,1126,,2025-04-01 14:27:47
Bank of Maharashtra,IN,INR,IMPS,1635,15,True,IN6813598790,00:00-23:59,True,1550,1550,,2025-03-23 13:33:52
Fidelity Bank,US,USD,ACH,2486,6,False,350252855,00:00-23:59,False,186,186,,2025-04-21 11:37:05
Postbank,DE,EUR,ELIXIR,326,6,False,CULFGBRH,08:00-16:00,False,314,314,,2025-02-13 00:17:43
Syndicate Bank,IN,INR,IMPS,2818,5,True,IN5959448457,00:00-23:59,False,1594,1594,,2025-03-20 16:04:57
ABC International Bank plc,UK,GBP,DIRECT,1188,17,True,UQQQGBNW,00:00-23:59,False,74,74,,2025-03-17 08:48:38
Yes Bank,IN,INR,UPI,2107,20,False,IN8137620172,00:00-23:59,False,63,13,50 cent discount,2025-01-24 10:48:32
Deutsche Bank,DE,EUR,ELIXIR,1105,11,True,KNDKGBWB,08:00-16:00,True,347,347,,2025-04-20 22:51:57
Santander,DE,EUR,SEPA,3040,9,True,QQHTGBDD,00:00-23:59,False,159,159,,2025-01-27 11:59:48
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2708,6,True,XEOMGBXNTGZ,08:00-17:00,False,158,158,,2025-04-10 15:51:57
Siemens Bank GmbH,DE,EUR,ELIXIR,3402,7,True,LRVRGB9ZIMD,08:00-16:00,False,329,329,,2025-02-10 17:19:07
Fidor Bank,DE,EUR,SEPA,617,0,True,RHMPGBH8,00:00-23:59,True,192,192,,2025-01-25 01:33:36
Santander UK,UK,GBP,CHAPS,1728,18,True,TIAXGBO1XG5,08:00-16:00,False,316,316,,2025-04-08 04:15:55
Barclays Bank USA,US,USD,CHIPS,924,15,True,919156722,00:00-23:59,False,1043,1043,,2025-04-24 02:22:40
American Express,US,USD,ACH,3340,9,True,364876196,00:00-23:59,False,169,69,$1 off per 50 txn,2025-02-21 05:45:59
Fidor Bank,DE,EUR,ELIXIR,1871,10,False,QIZOGBYSJL6,08:00-16:00,True,343,343,,2025-03-01 01:56:52
Regions Bank,US,USD,CHIPS,3395,6,True,733702608,00:00-23:59,False,1046,1046,,2025-04-14 10:19:54
Avenues Bank,US,USD,Fedwire,473,5,True,252465787,08:30-17:00,False,2664,2664,,2025-02-05 07:51:16
First Financial Bank,US,USD,Fedwire,999,15,True,006400669,08:30-17:00,True,2596,1817,30% weekend discount,2025-01-19 05:42:43
PNC Bank,US,USD,CHIPS,3224,16,True,468124893,00:00-23:59,False,1014,1014,,2025-03-31 03:47:40
Deutsche Bank,DE,EUR,SEPA,2350,10,True,BRTQGB9ESA5,00:00-23:59,True,48,34,30% weekend discount,2025-02-23 03:12:05
Republic Bank,US,USD,Fedwire,1302,1,True,535797706,08:30-17:00,False,3645,3645,,2025-02-11 04:28:27
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2229,19,True,VMCLGBDB2OI,08:00-17:00,False,288,288,,2025-04-21 23:25:05
IDBI Bank,IN,INR,RTGS,1353,8,True,IN9415446779,00:00-23:59,False,2526,2526,,2025-03-13 00:11:13
Canara Bank,IN,INR,UPI,2150,13,True,IN4188921677,00:00-23:59,True,125,88,30% weekend discount,2025-03-30 06:43:00
State Bank of India (SBI),IN,INR,RTGS,3327,16,True,IN8441871295,00:00-23:59,False,2665,2665,,2025-01-02 13:17:17
UCO Bank,IN,INR,NEFT,378,13,True,IN8079686390,08:00-19:00,True,240,240,,2025-03-29 20:16:35
Volksbank,DE,EUR,ELIXIR,1012,15,True,TENGGBH4,08:00-16:00,False,307,307,,2025-02-06 00:15:42
ICICI Bank,IN,INR,RTGS,2329,0,True,IN9267309331,00:00-23:59,False,2681,2681,,2025-03-27 08:44:14
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,3367,9,False,ZCPOGBAN898,08:00-17:00,False,251,251,,2025-04-17 00:24:23
N26,DE,EUR,ELIXIR,2343,9,True,ESUMGB0M,08:00-16:00,False,160,160,,2025-03-05 20:51:40
NatWest,UK,GBP,CHAPS,2483,13,True,GPMYGBIN8D4,08:00-16:00,False,274,274,,2025-03-20 00:55:09
American Savings Bank,US,USD,CHIPS,1616,8,True,102844078,00:00-23:59,False,1146,1146,,2025-03-10 04:04:07
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1042,6,True,NXLLGBM2YWQ,08:00-17:00,False,204,204,,2025-02-17 13:56:20
IndusInd Bank,IN,INR,NEFT,3552,2,True,IN4811453333,08:00-19:00,False,202,202,,2025-04-02 13:56:05
Yes Bank,IN,INR,UPI,2032,14,True,IN4210013769,00:00-23:59,True,30,30,,2025-02-23 20:48:31
Fifth Third Bank,US,USD,Fedwire,2763,15,True,939654485,08:30-17:00,True,2532,2532,,2025-04-13 02:10:38
Halifax,UK,GBP,CHAPS,2606,13,True,KBEGGBSJ486,08:00-16:00,False,1410,1410,,2025-02-17 03:27:39
Santander,DE,EUR,SEPA,1558,9,True,QHGUGBYE61Y,00:00-23:59,False,210,210,,2025-02-27 05:13:22
Avenues Bank,US,USD,ACH,2093,8,False,825105951,00:00-23:59,False,112,112,,2025-03-05 00:36:07
Guyana Bank,GY,RWF,DOMESTIC_RAIL,2456,14,False,KONTGBHC3GJ,08:00-17:00,False,240,240,,2025-03-03 07:45:31
Regions Bank,US,EUR,CHIPS,2120,12,True,743892593,00:00-23:59,False,2145,2145,,2025-03-05 19:43:04
NatWest,UK,GBP,DIRECT,1037,15,True,EVDCGBS2,00:00-23:59,False,1199,1199,,2025-01-23 19:43:59
Atom Bank PLC,UK,GBP,CHAPS,3474,17,True,OCCGGBMFCO3,08:00-16:00,False,1414,1414,,2025-01-28 21:22:03
Provident Bank,US,USD,Fedwire,1477,9,True,075044627,08:30-17:00,False,2579,2579,,2025-02-11 14:59:50
TD Bank,US,USD,Fedwire,2296,11,True,711643195,08:30-17:00,False,2634,2634,,2025-03-21 18:50:15
Commerzbank,DE,EUR,ELIXIR,680,5,True,ELYIGBBBMR9,08:00-16:00,False,267,267,,2025-03-18 09:20:10
Central Bank of India,IN,INR,RTGS,3475,12,True,IN2421644938,00:00-23:59,True,2669,1868,30% weekend discount,2025-03-30 01:39:32
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,3165,8,True,OJORGBB1,08:00-17:00,False,288,288,,2025-03-24 21:54:12
National Sri Lanka Bank,LK,LKR,DOMESTIC_RAIL,1343,3,True,FJOMGB5R,08:00-17:00,True,158,158,,2025-02-16 11:45:26
Bank of Maharashtra,IN,INR,UPI,2642,17,True,IN2209401524,00:00-23:59,False,160,160,,2025-03-10 23:32:37
Volksbank,DE,EUR,SEPA,1585,18,True,RVYSGBC5BIY,00:00-23:59,True,142,99,30% weekend discount,2025-04-13 07:25:50
Halifax,UK,EUR,CHAPS,1807,16,True,PMYXGBI45S8,08:00-16:00,False,1355,1355,,2025-03-26 21:09:20
Commerzbank,DE,EUR,ELIXIR,532,1,True,EHXSGB5O,08:00-16:00,True,182,182,,2025-02-09 03:06:16
UCO Bank,IN,INR,NEFT,3539,18,True,IN3780733708,08:00-19:00,False,132,132,,2025-03-20 05:44:17
UCO Bank,IN,INR,IMPS,1075,18,True,IN4613338352,00:00-23:59,True,1564,1564,,2025-03-29 05:04:41
Santander UK,UK,GBP,CHAPS,934,17,True,QFZBGBE9,08:00-16:00,False,282,282,,2025-02-21 06:29:17
First Bank of the West,US,USD,ACH,602,4,False,224147589,00:00-23:59,False,76,76,,2025-02-06 00:10:41
ABC International Bank plc,UK,GBP,DIRECT,1807,10,True,LCXJGBE0,00:00-23:59,False,1197,1197,,2025-01-28 05:20:36
American Savings Bank,US,USD,ACH,2357,20,False,367988465,00:00-23:59,False,42,42,,2025-02-06 23:58:29
Lloyds Banking Group,UK,GBP,DIRECT,2627,19,True,FDDDGBQZ,00:00-23:59,True,159,159,,2025-03-15 01:27:06
Guyana Bank,GY,RWF,DOMESTIC_RAIL,1322,2,True,ZVHHGBVV,08:00-17:00,False,152,152,,2025-01-20 11:42:29
Nationwide,UK,GBP,DIRECT,2080,17,True,JOQHGBEC,00:00-23:59,False,172,172,,2025-01-09 15:25:30
N26,DE,EUR,SEPA,1964,15,True,NCRRGBJN,00:00-23:59,True,114,114,,2025-01-19 10:50:43
Kuwait Bank,KW,DKK,DOMESTIC_RAIL,3197,18,True,KGQTGBEJ,08:00-17:00,False,186,186,,2025-04-16 13:40:52
IDBI Bank,IN,INR,NEFT,2433,3,True,IN6434257873,08:00-19:00,False,112,112,,2025-04-10 10:35:15
Indian Bank,IN,INR,IMPS,1718,11,True,IN8608111866,00:00-23:59,False,1589,1589,,2025-02-17 13:32:41
Atom Bank PLC,UK,GBP,DIRECT,1863,5,True,RCCAGBQ2,00:00-23:59,True,1208,1208,,2025-01-26 11:25:44
Lloyds Banking Group,UK,GBP,CHAPS,2057,12,True,KRRKGB2F,08:00-16:00,False,1358,1358,,2025-02-20 16:13:53
Sparkasse,DE,EUR,SEPA,3407,12,False,ZJNCGB4Q,00:00-23:59,False,134,134,,2025-04-08 08:27:19
Volkswagen Bank,DE,EUR,SEPA,1466,10,False,BSSKGBL3,00:00-23:59,False,114,14,$1 off per 50 txn,2025-04-22 17:19:25
Fidelity Investments,US,USD,CHIPS,2752,7,True,113855941,00:00-23:59,True,1141,1141,,2025-01-11 20:18:13
Punjab National Bank,IN,INR,NEFT,2410,4,False,IN2242204994,08:00-19:00,False,141,141,,2025-04-07 08:43:54
Guyana Bank,GY,RWF,DOMESTIC_RAIL,891,14,True,CIHNGBG0,08:00-17:00,True,274,274,,2025-02-09 19:20:09
Republic Bank,US,EUR,CHIPS,3182,11,True,325314333,00:00-23:59,False,2220,2220,,2025-03-14 19:52:16
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1742,11,False,EQCGGBF0JBI,08:00-17:00,True,189,189,,2025-03-08 12:38:31
Axis Bank,IN,INR,RTGS,1401,15,True,IN5820064882,00:00-23:59,False,2543,2543,,2025-03-11 11:59:58
American Express,US,USD,ACH,397,2,False,209197772,00:00-23:59,False,57,57,,2025-03-10 10:28:49
Indian Bank,IN,INR,NEFT,2079,17,True,IN2654333677,08:00-19:00,True,95,95,,2025-01-04 04:29:32
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,407,10,False,CVWZGBRN,08:00-17:00,False,263,263,,2025-02-18 16:46:39
Huntington Bank,US,USD,CHIPS,2158,5,False,543148668,00:00-23:59,True,2143,2143,,2025-03-16 17:18:12
Union Bank of India,IN,INR,RTGS,2901,0,True,IN3549663002,00:00-23:59,False,2627,2627,,2025-03-26 12:55:55
Volkswagen Bank,DE,EUR,ELIXIR,536,6,True,IBREGBDF,08:00-16:00,True,287,287,,2025-01-26 22:14:47
Lloyds Banking Group,UK,GBP,DIRECT,1402,17,False,JXGOGBHO,00:00-23:59,False,1217,1217,,2025-04-17 16:32:33
First Financial Bank,US,USD,ACH,2939,3,True,579286476,00:00-23:59,False,58,58,,2025-02-26 01:10:22
Commerzbank,DE,EUR,ELIXIR,2336,15,False,BRGHGBT6,08:00-16:00,False,189,189,,2025-01-28 11:51:16
Guyana Bank,GY,RWF,DOMESTIC_RAIL,3290,8,True,BXGHGB0G2SE,08:00-17:00,False,119,119,,2025-03-05 07:35:27
Axis Bank,IN,INR,NEFT,3248,9,True,IN9790031323,08:00-19:00,False,223,223,,2025-02-20 20:41:05
State Bank of India (SBI),IN,INR,IMPS,437,2,True,IN0952999816,00:00-23:59,False,1679,1679,,2025-03-07 04:33:46
N26,DE,EUR,SEPA,1761,2,True,HBCOGBDV,00:00-23:59,False,158,158,,2025-02-18 18:33:37
Deutsche Bank,DE,EUR,SEPA,2361,19,True,PKXGGBH8,00:00-23:59,False,147,147,,2025-01-10 00:47:38
Vanguard Bank,US,USD,Fedwire,1661,10,True,869731733,08:30-17:00,False,2643,2643,,2025-03-03 21:40:03
American Express Bank,US,USD,Fedwire,2340,17,True,156985506,08:30-17:00,False,2597,2597,,2025-01-08 15:37:39
TARGOBANK,DE,EUR,SEPA,2180,15,True,KFXSGBASKUK,00:00-23:59,False,137,137,,2025-03-06 08:46:04
UniCredit Bank AG,DE,EUR,ELIXIR,2585,13,True,VHJJGBRZ,08:00-16:00,False,259,259,,2025-01-14 18:18:24
ABC International Bank plc,UK,EUR,DIRECT,322,6,True,AEHOGBC5,00:00-23:59,False,1257,1257,,2025-04-09 06:19:13
Hamburg Commercial Bank,DE,EUR,SEPA,1958,19,True,RIQAGBYM,00:00-23:59,True,91,91,,2025-01-12 10:40:41
Indian Bank,IN,INR,RTGS,3053,13,True,IN8599731474,00:00-23:59,False,2637,2637,,2025-01-22 17:51:33
Halifax,UK,GBP,CHAPS,2211,20,True,MTUNGBXS,08:00-16:00,False,301,301,,2025-04-15 11:52:22
Guyana Bank,GY,GBP,DOMESTIC_RAIL,3106,5,True,QPOGGB9AOTH,08:00-17:00,False,1321,1321,,2025-04-10 04:59:13
Indian Bank,IN,INR,NEFT,495,12,True,IN5731068347,08:00-19:00,False,77,77,,2025-03-25 04:20:26
Volkswagen Bank,DE,EUR,SEPA,767,14,True,PSIDGB90,00:00-23:59,False,53,53,,2025-04-18 19:59:24
Fidor Bank,DE,EUR,ELIXIR,1155,5,True,YGSEGBM7JI1,08:00-16:00,False,296,296,,2025-03-27 08:50:11
Atom Bank PLC,UK,EUR,CHAPS,508,6,True,AZWWGB4K,08:00-16:00,False,1354,1354,,2025-04-07 05:42:22
Atom Bank PLC,UK,EUR,SWIFT,16102,10,True,KAWGGBSRLZS,00:00-23:59,False,2732,2732,,2025-02-17 19:02:03
Bank of India,IN,INR,NEFT,2414,13,True,IN3408483008,08:00-19:00,False,250,250,,2025-02-24 04:58:26
First Federal Bank of Chicago,US,USD,ACH,718,20,True,193248992,00:00-23:59,False,35,35,,2025-02-11 23:37:12
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,969,20,False,GTYLGBKG,08:00-17:00,True,227,227,,2025-04-20 06:47:37
Punjab National Bank,IN,INR,UPI,807,6,True,IN8229984813,00:00-23:59,True,152,106,30% weekend discount,2025-03-22 03:03:03
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1030,17,True,QMYWGB9F9CN,08:00-17:00,True,225,158,30% weekend discount,2025-02-08 19:03:28
National Kuwait Bank,KW,DKK,DOMESTIC_RAIL,1690,6,True,DDDNGBF6QZK,08:00-17:00,True,175,175,,2025-02-01 03:27:40
ING,DE,EUR,ELIXIR,2498,4,True,FZHHGB4ZMIM,08:00-16:00,True,233,233,,2025-01-12 20:00:51
Bank of India,IN,INR,RTGS,3032,10,True,IN8177302814,00:00-23:59,False,2551,2551,,2025-01-09 22:25:13
IDBI Bank,IN,INR,NEFT,2698,6,True,IN7872980861,08:00-19:00,True,61,61,,2025-04-13 00:40:36
Hamburg Commercial Bank,DE,EUR,SEPA,317,2,True,BSVGGBCU,00:00-23:59,False,143,143,,2025-04-09 19:03:44
TARGOBANK,DE,EUR,ELIXIR,1493,1,True,DDGSGB8D,08:00-16:00,True,163,163,,2025-02-15 01:52:43
First Bank,US,USD,ACH,2740,4,True,136853665,00:00-23:59,True,101,101,,2025-01-04 19:38:54
National Guyana Bank,GY,RWF,DOMESTIC_RAIL,1929,14,True,LVQTGBSPQIT,08:00-17:00,False,169,169,,2025-01-02 23:05:51
DZ Bank,DE,EUR,SEPA,522,8,True,VUYKGB44,00:00-23:59,True,62,62,,2025-02-22 23:40:07
Axis Bank,IN,INR,NEFT,761,11,True,IN7058973800,08:00-19:00,True,97,97,,2025-02-22 04:19:21
Great Western Bank,US,USD,Fedwire,3544,9,True,647769874,08:30-17:00,True,2640,2640,,2025-01-26 12:48:25
Royal Bank of Canada (RBC),US,USD,Fedwire,1903,5,False,761728607,08:30-17:00,True,2688,1882,30% weekend discount,2025-01-18 00:16:17
Deutsche Kreditbank Aktiengesellschaft,DE,USD,SEPA,669,0,True,SNFIGBA7X2V,00:00-23:59,False,1035,1035,,2025-01-30 03:49:27
PNC Bank,US,USD,ACH,1021,10,True,357571627,00:00-23:59,True,91,91,,2025-02-02 16:50:41
Indian Overseas Bank,IN,INR,IMPS,1506,19,True,IN9391783294,00:00-23:59,True,1678,1678,,2025-01-05 13:13:14
Guyana Bank,GY,GBP,DOMESTIC_RAIL,3222,4,True,CXOQGBEU,08:00-17:00,False,1205,1105,$1 off per 50 txn,2025-01-01 08:55:05
Provident Bank,US,USD,ACH,1014,14,True,211559835,00:00-23:59,False,98,98,,2025-01-08 16:04:12
Metro Bank,UK,GBP,SWIFT,78918,17,True,ZSQLGBJP,00:00-23:59,False,2642,2642,,2025-04-16 06:13:23
